symbol,neutrons,protons,instability,abundance
Kr,43,36,1.6457235156630354e-55,0.0
Kr,44,36,0.0,2.286
Kr,45,36,0.0,0.0
Kr,46,36,0.0,11.593
Kr,47,36,0.0,11.5
Kr,48,36,0.0,56.987
Kr,49,36,0.0,0.0
Kr,50,36,0.0,17.279
Kr,51,36,0.010275426612469454,0.0
Kr,52,36,3.8302323416555486e-05,0.0
Kr,53,36,0.8277865066947336,0.0
Kr,54,36,0.9681967095551803,0.0
Kr,55,36,0.9914666177705729,0.0
Kr,56,36,0.9981616917622268,0.0
Kr,57,36,0.9987148265436503,0.0
Kr,58,36,0.9997880224704121,0.0
Kr,59,36,0.999886006497753,0.0
Kr,60,36,0.9999200031999147,0.0
Kr,61,36,0.9999370019844583,0.0
Kr,62,36,0.9999570009244867,0.0
Kr,63,36,0.9999870000844996,0.0
Kr,64,36,0.9999930000245,0.0
Rb,37,37,0.9999352260979197,0.0
Rb,38,37,0.981179362242806,0.0
Rb,39,37,0.964158093896324,0.0
Rb,40,37,0.7970801823860759,0.0
